YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WD50M,PM2.5
2021,2,7,21.99,2.51,12.25,23.51,31.25,14.47,4.76,30.69,0,96.87,3.66,5.01,2.68,45.44,5.84,8.24,3.9,45.44,62.20833333
2021,2,8,21.19,-4.71,8.24,22.41,31.62,12.25,2.75,19.81,0,96.92,3.44,4.52,2.66,67.69,5.22,6.8,3.56,67.88,58.625
2021,2,9,22.5,-4.34,9.08,23.52,33.4,14.61,2.93,19.5,0,96.78,2.42,3.75,0.41,73.12,3.83,7.84,0.48,73.25,64.91666667
2021,2,10,23.01,-3.17,9.92,24.45,34.26,13.01,3.17,20.31,0,96.61,2.62,3.64,1.23,91.88,4.26,7.62,1.25,90.81,60.41666667
2021,2,11,23.79,1.28,12.54,25.3,34.55,14.26,4.52,28.06,0,96.52,2.97,4.16,1.63,106.81,4.95,8.98,1.81,106.25,54.66666667
2021,2,12,24.75,7.56,16.15,26.98,34.5,15.65,6.77,37.94,0,96.57,2.34,3.56,0.8,116,4.25,7.72,0.77,116.12,53.29166667
2021,2,13,25.58,8.26,16.92,27.46,34.88,16.87,7.14,37.88,0,96.61,2.74,4.09,1.18,165.56,4.52,7.6,1.34,166.25,52.04166667
2021,2,14,25.72,8.05,16.88,27.73,34.18,16.91,7.02,36.5,0,96.63,2.5,3.98,0.34,152.94,4.02,7.26,0.34,154.38,50.5
2021,2,15,26.94,7.48,17.22,28.41,34.55,19.88,6.71,31.5,0,96.51,2.63,4.14,0.49,168.5,3.7,6.5,0.66,168.62,48.375
2021,2,16,26.76,7.9,17.33,27.87,34.55,18.44,6.96,33.44,0,96.43,2.43,3.95,0.17,188.44,3.64,6.41,0.27,187.5,47.875
2021,2,17,26.62,8.26,17.44,28.69,34.21,19.48,7.08,33.31,0,96.44,2.41,4.17,1.48,150.88,3.67,7.16,1.65,152.88,35.75
2021,2,18,25.4,10.18,17.79,27.33,31.6,19.37,8.06,40.38,0.18,96.75,2.88,4.17,1.8,125.5,4.49,7.3,2.51,126,37.75
2021,2,19,23.56,11.08,17.32,24.89,28.31,19.57,8.54,46.75,0.91,96.95,3.14,4.93,1.45,62.19,4.66,7.64,2.09,63,42.66666667
2021,2,20,24.44,11.1,17.76,26.26,31.53,16.87,8.54,46.06,0,96.88,4.01,5.81,2.61,69.62,6.12,6.82,5.45,70.19,37.66666667
2021,2,21,26.18,10.01,18.09,28.08,32.9,20.26,7.93,37.69,0,96.87,3.82,5.27,2.59,75.69,5.48,6.48,4.34,76.12,38.25
2021,2,22,25.56,7.26,16.4,27.27,33.99,18.38,6.65,33.81,0.02,96.87,3.34,5.12,2.33,69.31,4.96,6.37,4,69.12,46.25
2021,2,23,25.72,3.08,14.4,27.21,35.55,16.81,4.94,25.75,0,96.7,3.12,3.93,2.11,72.69,4.72,6.68,2.75,71.94,50.16666667
2021,2,24,26.59,0.94,13.76,27.9,36.19,18.93,4.21,20.44,0,96.57,2.33,3.32,1.17,76.75,3.39,6.19,1.36,76.12,47.375
2021,2,25,26.91,1.34,14.12,28.58,36.88,17.47,4.33,21.12,0,96.53,2.29,3.3,0.1,151.5,3.36,5.16,0.2,151.31,59.54166667
2021,2,26,27.54,3.75,15.64,28.94,36.8,19.56,5.25,22.5,0,96.38,3.11,4.21,2.2,203.81,4.71,6.98,3.3,203.5,49.5
2021,2,27,27.58,1.23,14.4,29.06,37.51,18.56,4.33,19.19,0,96.32,3.28,3.98,2.63,220.44,4.79,5.9,4.04,220,34.08333333
2021,2,28,28.51,2.3,15.4,30.24,37.65,20.42,4.7,19.38,0,96.38,2.51,3.15,1.73,39.38,3.73,5.95,2.05,39,40.625
2021,3,1,29.55,4.24,16.9,31.54,38.33,22.59,5.37,20.88,0,96.58,2.13,3.05,0.36,75.38,3.2,5.77,0.55,105.31,40.45833333
2021,3,2,28.69,2.48,15.58,30.4,38.11,20.43,4.76,20.06,0,96.66,3.38,4.5,2.75,34.81,5.07,6.05,3.82,34.44,41.5
2021,3,3,27.46,-3.49,11.98,28.81,37.58,18.18,2.99,14.19,0,96.61,3.59,4.52,2.77,52.06,5.32,7.19,3.95,51.25,36
2021,3,4,27.6,-5.49,11.05,29.21,38.4,17.97,2.56,12,0,96.58,3.26,3.81,2.43,74.94,5.16,8.11,2.82,73.94,48.95833333
2021,3,5,27.58,1.07,14.32,29.25,37.66,17.58,4.33,21.06,0,96.63,2.84,4.04,1.99,188.88,4.31,7.03,2.31,187.81,47.95833333
2021,3,6,28.74,-2.16,13.3,30.34,38.43,20.3,3.36,14.12,0,96.61,1.93,3.26,1.05,48,2.82,6,1.02,60.56,49
2021,3,7,28.75,0.92,14.83,30.9,38.58,18.76,4.21,17.88,0,96.51,2.41,3.52,0.92,106.31,3.84,7.54,0.91,107.19,51.75
2021,3,8,29.02,5.35,17.19,31.52,38.36,19.54,5.8,24.56,0,96.55,2.91,4.67,1.29,148.69,4.95,8.45,1.4,149.31,45.375
2021,3,9,29.71,7.19,18.44,32.17,38.4,20.96,6.59,26.56,0,96.57,2.96,4.82,0.79,163.19,4.84,8.06,0.84,164.12,43.95833333
2021,3,10,29.98,8.15,19.06,32.23,38.12,22.14,7.08,28.06,0,96.59,2.81,4.8,0.52,174.38,4.23,7.91,0.52,173.12,39.375
2021,3,11,29.85,3.2,16.52,31.68,38.83,21.72,5.07,20.5,0,96.55,4.45,6.41,2.82,161.88,6.68,10.26,3.87,161.69,41.83333333
2021,3,12,29.18,1.1,15.14,31.18,38.9,19.98,4.33,18.88,0,96.66,3.66,4.91,1.84,161,5.85,9.05,2.46,161.06,40.625
2021,3,13,27.87,5.57,16.72,30.15,36.94,19.06,5.92,27.12,0.02,96.73,3,4.04,0.89,128.44,4.79,7.55,1.12,128.5,39.91666667
2021,3,14,29.29,3.1,16.19,31.88,38.62,19.96,4.94,20.5,0,96.53,2.8,3.97,1.05,117.75,4.77,8.18,1.06,118.31,56.83333333
2021,3,15,29.58,6.21,17.9,32.33,38.28,20.58,6.16,24.75,0,96.43,2.57,3.8,0.41,115.31,4.52,7.7,0.3,116.06,66.04166667
2021,3,16,30.3,7.05,18.68,32.79,38.64,21.65,6.53,25.06,0,96.42,2.78,4.09,1.28,123.31,4.75,7.38,1.24,123.81,66.33333333
